Date,reach
07/01/2022,0
07/02/2022,0
07/03/2022,0
07/04/2022,0
07/05/2022,0
07/06/2022,0
07/07/2022,0
07/08/2022,0
07/09/2022,0
07/10/2022,0
07/11/2022,0
07/12/2022,0
07/13/2022,0
07/14/2022,0
07/15/2022,0
07/16/2022,0
07/17/2022,0
07/18/2022,0
07/19/2022,0
07/20/2022,0
07/21/2022,0
07/22/2022,0
07/23/2022,0
07/24/2022,0
07/25/2022,0
07/26/2022,0
07/27/2022,0
07/28/2022,0
07/29/2022,0
07/30/2022,0
07/31/2022,0
08/01/2022,0
08/02/2022,0
08/03/2022,0
08/04/2022,0
08/05/2022,0
08/06/2022,0
08/07/2022,0
08/08/2022,0
08/09/2022,0
08/10/2022,0
08/11/2022,0
08/12/2022,0
08/13/2022,0
08/14/2022,0
08/15/2022,0
08/16/2022,0
08/17/2022,0
08/18/2022,0
08/19/2022,0
08/20/2022,0
08/21/2022,0
08/22/2022,0
08/23/2022,0
08/24/2022,0
08/25/2022,0
08/26/2022,0
08/27/2022,0
08/28/2022,0
08/29/2022,0
08/30/2022,0
08/31/2022,0
09/01/2022,0
09/02/2022,0
09/03/2022,0
09/04/2022,0
09/05/2022,0
09/06/2022,0
09/07/2022,0
09/08/2022,0
09/09/2022,0
09/10/2022,0
09/11/2022,0
09/12/2022,0
09/13/2022,0
09/14/2022,0
09/15/2022,0
09/16/2022,0
09/17/2022,0
09/18/2022,0
09/19/2022,0
09/20/2022,0
09/21/2022,0
09/22/2022,0
09/23/2022,0
09/24/2022,0
09/25/2022,0
09/26/2022,0
09/27/2022,0
09/28/2022,0
09/29/2022,0
09/30/2022,0
10/01/2022,0
10/02/2022,0
10/03/2022,0
10/04/2022,0
10/05/2022,0
10/06/2022,0
10/07/2022,0
10/08/2022,0
10/09/2022,0
10/10/2022,0
10/11/2022,0
10/12/2022,0
10/13/2022,0
10/14/2022,0
10/15/2022,0
10/16/2022,0
10/17/2022,0
10/18/2022,0
10/19/2022,0
10/20/2022,0
10/21/2022,0
10/22/2022,0
10/23/2022,0
10/24/2022,0
10/25/2022,0
10/26/2022,0
10/27/2022,0
10/28/2022,0
10/29/2022,0
10/30/2022,0
10/31/2022,0
11/01/2022,0
11/02/2022,0
11/03/2022,0
11/04/2022,0
11/05/2022,0
11/06/2022,0
11/07/2022,0
11/08/2022,0
11/09/2022,0
11/10/2022,0
11/11/2022,0
11/12/2022,0
11/13/2022,0
11/14/2022,0
11/15/2022,0
11/16/2022,0
11/17/2022,0
11/18/2022,0
11/19/2022,0
11/20/2022,0
11/21/2022,0
11/22/2022,0
11/23/2022,0
11/24/2022,0
11/25/2022,0
11/26/2022,0
11/27/2022,0
11/28/2022,0
11/29/2022,0
11/30/2022,0
12/01/2022,0
12/02/2022,0
12/03/2022,0
12/04/2022,0
12/05/2022,0
12/06/2022,0
12/07/2022,0
12/08/2022,0
12/09/2022,0
12/10/2022,0
12/11/2022,0
12/12/2022,0
12/13/2022,0
12/14/2022,0
12/15/2022,0
12/16/2022,0
12/17/2022,0
12/18/2022,0
12/19/2022,0
12/20/2022,0
12/21/2022,0
12/22/2022,0
12/23/2022,0
12/24/2022,0
12/25/2022,0
12/26/2022,0
12/27/2022,0
12/28/2022,0
12/29/2022,0
12/30/2022,0
12/31/2022,0
01/01/2023,0
01/02/2023,0
01/03/2023,0
01/04/2023,0
01/05/2023,0
01/06/2023,0
01/07/2023,0
01/08/2023,0
01/09/2023,0
01/10/2023,0
01/11/2023,0
01/12/2023,0
01/13/2023,0
01/14/2023,0
01/15/2023,0
01/16/2023,0
01/17/2023,0
01/18/2023,0
01/19/2023,0
01/20/2023,0
01/21/2023,0
01/22/2023,0
01/23/2023,0
01/24/2023,0
01/25/2023,0
01/26/2023,0
01/27/2023,0
01/28/2023,0
01/29/2023,0
01/30/2023,0
01/31/2023,0
02/01/2023,0
02/02/2023,0
02/03/2023,0
02/04/2023,0
02/05/2023,0
02/06/2023,0
02/07/2023,0
02/08/2023,0
02/09/2023,0
02/10/2023,0
02/11/2023,0
02/12/2023,0
02/13/2023,0
02/14/2023,0
02/15/2023,0
02/16/2023,0
02/17/2023,0
02/18/2023,0
02/19/2023,0
02/20/2023,0
02/21/2023,0
02/22/2023,0
02/23/2023,0
02/24/2023,0
02/25/2023,0
02/26/2023,0
02/27/2023,0
02/28/2023,0
03/01/2023,0
03/02/2023,0
03/03/2023,0
03/04/2023,775
03/05/2023,417
03/06/2023,567
03/07/2023,1483
03/08/2023,1753
03/09/2023,1593
03/10/2023,646
03/11/2023,14930
03/12/2023,16573
03/13/2023,16407
03/14/2023,15790
03/15/2023,1314
03/16/2023,445
03/17/2023,355
03/18/2023,361
03/19/2023,457
03/20/2023,395
03/21/2023,278
03/22/2023,844
03/23/2023,2921
03/24/2023,1288
03/25/2023,391
03/26/2023,341
03/27/2023,1412
03/28/2023,1872
03/29/2023,1337
03/30/2023,588
03/31/2023,494
04/01/2023,333
04/02/2023,286
04/03/2023,378
04/04/2023,766
04/05/2023,6485
04/06/2023,4505
04/07/2023,1355
04/08/2023,776
04/09/2023,967
04/10/2023,645
04/11/2023,3023
04/12/2023,3860
04/13/2023,1675
04/14/2023,782
04/15/2023,1830
04/16/2023,841
04/17/2023,665
04/18/2023,414
04/19/2023,14563
04/20/2023,24857
04/21/2023,2044
04/22/2023,476
04/23/2023,398
04/24/2023,1728
04/25/2023,912
04/26/2023,749
04/27/2023,564
04/28/2023,365
04/29/2023,488
04/30/2023,468
05/01/2023,258
05/02/2023,494
05/03/2023,494
05/04/2023,1337
05/05/2023,2360
05/06/2023,753
05/07/2023,692
05/08/2023,471
05/09/2023,3255
05/10/2023,1343
05/11/2023,298
05/12/2023,2167
05/13/2023,581
05/14/2023,254
05/15/2023,786
05/16/2023,3732
05/17/2023,2925
05/18/2023,468
05/19/2023,98
05/20/2023,73
05/21/2023,64
05/22/2023,555
05/23/2023,767
05/24/2023,465
05/25/2023,1006
05/26/2023,2167
05/27/2023,769
05/28/2023,1134
05/29/2023,600
05/30/2023,1400
05/31/2023,650
06/01/2023,380
06/02/2023,415
06/03/2023,540
06/04/2023,700
06/05/2023,572
06/06/2023,1721
06/07/2023,1801
06/08/2023,1182
06/09/2023,1995
06/10/2023,10486
06/11/2023,5501
06/12/2023,3081
06/13/2023,1324
06/14/2023,669
06/15/2023,1910
06/16/2023,7003
06/17/2023,3159
06/18/2023,4315
06/19/2023,1533
06/20/2023,1243
06/21/2023,2601
06/22/2023,3873
06/23/2023,3041
06/24/2023,6215
06/25/2023,8853
06/26/2023,3150
06/27/2023,2184
06/28/2023,2431
06/29/2023,2338
06/30/2023,3274
07/01/2023,6858
07/02/2023,8864
07/03/2023,10535
07/04/2023,2418
07/05/2023,5840
07/06/2023,11026
07/07/2023,7974
07/08/2023,7192
07/09/2023,9894
07/10/2023,10997
07/11/2023,5493
07/12/2023,3900
07/13/2023,2723
07/14/2023,1714
07/15/2023,2921
07/16/2023,2573
07/17/2023,2193
07/18/2023,7163
07/19/2023,17226
07/20/2023,6778
07/21/2023,3225
07/22/2023,5820
07/23/2023,5611
07/24/2023,3499
07/25/2023,2715
07/26/2023,1789
07/27/2023,2101
07/28/2023,2213
07/29/2023,3532
07/30/2023,2457
07/31/2023,3365
08/01/2023,2363
08/02/2023,1695
08/03/2023,6289
08/04/2023,7750
08/05/2023,5398
08/06/2023,5433
08/07/2023,1737
08/08/2023,2044
08/09/2023,1254
08/10/2023,3583
08/11/2023,2776
08/12/2023,1666
08/13/2023,3001
08/14/2023,2454
08/15/2023,1951
08/16/2023,2216
08/17/2023,2667
08/18/2023,2175
08/19/2023,1337
08/20/2023,2009
08/21/2023,1623
08/22/2023,5121
08/23/2023,18805
08/24/2023,18549
08/25/2023,12932
08/26/2023,7280
08/27/2023,3360
08/28/2023,1897
08/29/2023,4460
08/30/2023,3299
08/31/2023,8879
09/01/2023,12346
09/02/2023,10935
09/03/2023,6441
09/04/2023,2395
09/05/2023,1231
09/06/2023,958
09/07/2023,1402
09/08/2023,1154
09/09/2023,866
09/10/2023,587
09/11/2023,1691
09/12/2023,1414
09/13/2023,1018
09/14/2023,714
09/15/2023,556
09/16/2023,474
09/17/2023,327
09/18/2023,609
09/19/2023,1054
09/20/2023,863
09/21/2023,869
09/22/2023,1159
09/23/2023,601
09/24/2023,1096
09/25/2023,1318
09/26/2023,977
09/27/2023,1086
09/28/2023,2249
09/29/2023,1739
09/30/2023,583
10/01/2023,440
10/02/2023,662
10/03/2023,1038
10/04/2023,753
10/05/2023,665
10/06/2023,440
10/07/2023,357
10/08/2023,278
10/09/2023,317
10/10/2023,438
10/11/2023,352
10/12/2023,409
10/13/2023,461
10/14/2023,418
10/15/2023,186
10/16/2023,704
10/17/2023,440
10/18/2023,292
10/19/2023,191
10/20/2023,171
10/21/2023,149
10/22/2023,181
10/23/2023,198
10/24/2023,204
10/25/2023,161
10/26/2023,451
10/27/2023,312
10/28/2023,301
10/29/2023,190
10/30/2023,348
10/31/2023,1897
11/01/2023,1318
11/02/2023,1808
11/03/2023,2085
11/04/2023,1466
11/05/2023,817
11/06/2023,1202
11/07/2023,993
11/08/2023,2641
11/09/2023,6196
11/10/2023,4523
11/11/2023,3893
11/12/2023,2867
11/13/2023,1495
11/14/2023,2839
11/15/2023,2847
11/16/2023,2225
11/17/2023,1311
11/18/2023,992
11/19/2023,553
11/20/2023,683
11/21/2023,1545
11/22/2023,872
11/23/2023,2963
11/24/2023,2908
11/25/2023,3145
11/26/2023,2959
11/27/2023,975
11/28/2023,499
11/29/2023,1448
11/30/2023,681
12/01/2023,643
12/02/2023,527
12/03/2023,2875
12/04/2023,1503
12/05/2023,823
12/06/2023,1105
12/07/2023,892
12/08/2023,534
12/09/2023,515
12/10/2023,733
12/11/2023,1115
12/12/2023,7462
12/13/2023,12033
12/14/2023,10686
12/15/2023,6485
12/16/2023,737
12/17/2023,1424
12/18/2023,1205
12/19/2023,1588
12/20/2023,1686
12/21/2023,2559
12/22/2023,10913
12/23/2023,8052
12/24/2023,2531
12/25/2023,4150
12/26/2023,19086
12/27/2023,16069
12/28/2023,29696
12/29/2023,51243
12/30/2023,139744
12/31/2023,3041
01/01/2024,4025
01/02/2024,1483
01/03/2024,1510
01/04/2024,1386
01/05/2024,1547
01/06/2024,869
01/07/2024,593
01/08/2024,1086
01/09/2024,1440
01/10/2024,1185
01/11/2024,1917
01/12/2024,993
01/13/2024,1098
01/14/2024,2082
01/15/2024,2967
01/16/2024,2843
01/17/2024,4340
01/18/2024,1943
01/19/2024,1202
01/20/2024,983
01/21/2024,1117
01/22/2024,904
01/23/2024,1131
01/24/2024,3560
01/25/2024,2528
01/26/2024,1872
01/27/2024,2316
01/28/2024,2282
01/29/2024,3122
01/30/2024,3461
01/31/2024,4443
02/01/2024,2316
02/02/2024,2542
02/03/2024,1756
02/04/2024,1251
02/05/2024,1601
02/06/2024,1535
02/07/2024,2264
02/08/2024,1698
02/09/2024,2267
02/10/2024,4391
02/11/2024,1388
02/12/2024,1242
02/13/2024,1818
02/14/2024,1860
02/15/2024,1227
02/16/2024,1835
02/17/2024,926
02/18/2024,1068
02/19/2024,3067
02/20/2024,1877
02/21/2024,1404
02/22/2024,764
02/23/2024,980
02/24/2024,3269
02/25/2024,2027
02/26/2024,1554
02/27/2024,1386
02/28/2024,619
02/29/2024,1178
03/01/2024,613
03/02/2024,706
03/03/2024,322
03/04/2024,1349
03/05/2024,589
03/06/2024,1709
03/07/2024,775
03/08/2024,699
03/09/2024,1418
03/10/2024,846
03/11/2024,864
03/12/2024,1855
03/13/2024,2584
03/14/2024,7113
03/15/2024,5142
03/16/2024,4969
03/17/2024,4025
03/18/2024,1875
03/19/2024,2831
03/20/2024,1220
03/21/2024,1198
03/22/2024,9477
03/23/2024,8046
03/24/2024,7509
03/25/2024,7216
03/26/2024,1599
03/27/2024,7813
03/28/2024,1632
03/29/2024,640
03/30/2024,470
03/31/2024,403
04/01/2024,385
04/02/2024,601
04/03/2024,620
04/04/2024,4655
04/05/2024,3225
04/06/2024,4090
04/07/2024,4003
04/08/2024,2291
04/09/2024,568
04/10/2024,1023
04/11/2024,3607
04/12/2024,1026
04/13/2024,531
04/14/2024,763
04/15/2024,354
04/16/2024,260
04/17/2024,242
04/18/2024,829
04/19/2024,1396
04/20/2024,819
04/21/2024,361
04/22/2024,744
04/23/2024,1243
04/24/2024,1066
04/25/2024,428
04/26/2024,713
04/27/2024,420
04/28/2024,422
04/29/2024,271
04/30/2024,209
05/01/2024,1870
05/02/2024,2144
05/03/2024,710
05/04/2024,785
05/05/2024,533
05/06/2024,310
05/07/2024,329
05/08/2024,478
05/09/2024,6935
05/10/2024,8216
05/11/2024,7293
05/12/2024,6741
05/13/2024,2030
05/14/2024,3578
05/15/2024,2193
05/16/2024,577
05/17/2024,638
05/18/2024,317
05/19/2024,253
05/20/2024,5815
05/21/2024,6244
05/22/2024,7275
05/23/2024,6308
05/24/2024,6321
05/25/2024,6202
05/26/2024,630
05/27/2024,294
05/28/2024,723
05/29/2024,2467
05/30/2024,240
05/31/2024,506
06/01/2024,301
06/02/2024,203
06/03/2024,219
06/04/2024,166
06/05/2024,2231
06/06/2024,980
06/07/2024,1320
06/08/2024,1565
06/09/2024,281
06/10/2024,295
06/11/2024,172
06/12/2024,348
06/13/2024,972
06/14/2024,2997
06/15/2024,1223
06/16/2024,750
06/17/2024,679
06/18/2024,568
06/19/2024,696
06/20/2024,651
06/21/2024,1041
06/22/2024,403
06/23/2024,494
06/24/2024,750
06/25/2024,2659
06/26/2024,3140
06/27/2024,1249
06/28/2024,881
06/29/2024,860
06/30/2024,1173
07/01/2024,2261
07/02/2024,1154
07/03/2024,1920
07/04/2024,2800
07/05/2024,1440
07/06/2024,1275
07/07/2024,1196
07/08/2024,1573
07/09/2024,1925
07/10/2024,2570
07/11/2024,3821
07/12/2024,2030
07/13/2024,1472
07/14/2024,1258
07/15/2024,695
07/16/2024,1054
07/17/2024,829
07/18/2024,525
07/19/2024,563
07/20/2024,286
07/21/2024,346
07/22/2024,1134
07/23/2024,2052
07/24/2024,1512
07/25/2024,1524
07/26/2024,1478
07/27/2024,751
07/28/2024,329
07/29/2024,1825
07/30/2024,1512
07/31/2024,1830
08/01/2024,2057
08/02/2024,2110
08/03/2024,4460
08/04/2024,5781
08/05/2024,4902
08/06/2024,2273
08/07/2024,1935
08/08/2024,2591
08/09/2024,1550
08/10/2024,1718
08/11/2024,2723
08/12/2024,2115
08/13/2024,2099
08/14/2024,4090
08/15/2024,958
08/16/2024,455
08/17/2024,2267
08/18/2024,2049
08/19/2024,2038
08/20/2024,1238
08/21/2024,1588
08/22/2024,1378
08/23/2024,804
08/24/2024,1406
08/25/2024,2788
08/26/2024,2085
08/27/2024,1058
08/28/2024,1232
08/29/2024,468
08/30/2024,928
08/31/2024,484
09/01/2024,617
09/02/2024,556
09/03/2024,636
09/04/2024,306
09/05/2024,224
09/06/2024,309
09/07/2024,269
09/08/2024,300
09/09/2024,197
09/10/2024,703
09/11/2024,354
09/12/2024,233
09/13/2024,242
09/14/2024,711
09/15/2024,3274
09/16/2024,2027
09/17/2024,1657
09/18/2024,556
09/19/2024,271
09/20/2024,183
09/21/2024,228
09/22/2024,1161
09/23/2024,531
09/24/2024,460
09/25/2024,706
09/26/2024,721
09/27/2024,892
09/28/2024,1682
09/29/2024,1073
09/30/2024,343
10/01/2024,601
10/02/2024,560
10/03/2024,317
10/04/2024,267
10/05/2024,285
10/06/2024,1058
10/07/2024,443
10/08/2024,305
10/09/2024,239
10/10/2024,1088
10/11/2024,1582
10/12/2024,706
10/13/2024,243
10/14/2024,396
10/15/2024,285
10/16/2024,169
10/17/2024,2222
10/18/2024,430
10/19/2024,238
10/20/2024,879
10/21/2024,310
10/22/2024,252
10/23/2024,164
10/24/2024,153
10/25/2024,143
10/26/2024,240
10/27/2024,168
10/28/2024,136
10/29/2024,134
10/30/2024,174
10/31/2024,2831
11/01/2024,1357
11/02/2024,635
11/03/2024,515
11/04/2024,1400
11/05/2024,433
11/06/2024,290
11/07/2024,254
11/08/2024,200
11/09/2024,456
11/10/2024,193
11/11/2024,418
11/12/2024,534
11/13/2024,373
11/14/2024,522
11/15/2024,1031
11/16/2024,1249
11/17/2024,863
11/18/2024,813
11/19/2024,271
11/20/2024,172
11/21/2024,145
11/22/2024,142
11/23/2024,800
11/24/2024,669
11/25/2024,624
11/26/2024,363
11/27/2024,228
11/28/2024,470
11/29/2024,379
11/30/2024,288
12/01/2024,310
12/02/2024,581
12/03/2024,273
12/04/2024,143
12/05/2024,301
12/06/2024,313
12/07/2024,139
12/08/2024,153
12/09/2024,142
12/10/2024,106
12/11/2024,6765
12/12/2024,4068
12/13/2024,931
12/14/2024,660
12/15/2024,1134
12/16/2024,1485
12/17/2024,2291
12/18/2024,2006
12/19/2024,23568
12/20/2024,21277
12/21/2024,5782
12/22/2024,1388
12/23/2024,2487
12/24/2024,1303
12/25/2024,3197
12/26/2024,2213
12/27/2024,2009
12/28/2024,1604
12/29/2024,811
12/30/2024,782
12/31/2024,664
01/01/2025,565
01/02/2025,857
01/03/2025,575
01/04/2025,337
01/05/2025,272
01/06/2025,2066
01/07/2025,907
01/08/2025,621
01/09/2025,539
01/10/2025,569
01/11/2025,697
01/12/2025,277
01/13/2025,395
01/14/2025,1305
01/15/2025,1069
01/16/2025,540
01/17/2025,269
01/18/2025,208
01/19/2025,171
01/20/2025,434
01/21/2025,516
01/22/2025,811
01/23/2025,813
01/24/2025,785
01/25/2025,350
01/26/2025,285
01/27/2025,355
01/28/2025,585
01/29/2025,412
01/30/2025,665
01/31/2025,300
02/01/2025,197
02/02/2025,161
02/03/2025,498
02/04/2025,914
02/05/2025,493
02/06/2025,499
02/07/2025,1024
02/08/2025,444
02/09/2025,1103
02/10/2025,6609
02/11/2025,10810
02/12/2025,9539
02/13/2025,9737
02/14/2025,4399
02/15/2025,348
02/16/2025,133
02/17/2025,714
02/18/2025,613
02/19/2025,429
02/20/2025,481
02/21/2025,736
02/22/2025,190
02/23/2025,249
02/24/2025,1404
02/25/2025,406
02/26/2025,474
02/27/2025,417
02/28/2025,601
03/01/2025,184
03/02/2025,122
03/03/2025,242
