d4r55,fzvQIb,Date_Avis,Source,Avis,Traduction,Nombre_Avis,Autre,w8nwRe,dSlJg,znYl0,dSlJg 2,znYl0 2,nM6d2c,DZSIDd,wiI7pd 2,Hzvxle,pkWtMe,fontBodySmall 3,fontBodySmall 4
K,5-Mar,6 years ago,Google,good location,,Local Guide Â· 58 reviews Â· 15 photos,î??,,î£?,Like,î ,Share,,,,,,,
Mohamed Ghribi,5-May,8 years ago,Google,Cool !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,1 review,î??,,î£?,Like,î ,Share,,,,,,,
Amine mechergui,5-Mar,8 years ago,Google,Cool,,"Local Guide Â· 151 reviews Â· 1,380 photos",î??,,î£?,Like,î ,Share,,,,,,,
MUBARAK ALHAGBANI,5-Jan,8 months ago,Google,,,Local Guide Â· 19 reviews Â· 30 photos,î??,More,î£?,Like,î ,Share,,,,,,,
Rani C,5-May,a month ago,Tripadvisor,"A very warm welcome for a group of around forty people: the team is attentive, available, and professional. The rooms are spacious and clean, the view is magnificent, and everyone is very attentive. The restaurant offers a buffet with â?¦",See original (French),,,,,,,,,,,,,Translated by Google,ã?»
Barbara B,5-May,3 weeks ago,Tripadvisor,"Perfect welcome, friendly and attentive staff. I appreciated the large, generous buffet, with European and Tunisian specialties. The whole group appreciated the work room with sea view and the possibility of quickly going outside to chat or â?¦",See original (French),,,,,,,,,,,,,Translated by Google,ã?»
Ami M,5-Apr,a month ago,Tripadvisor,"I spent a week of training at the Bizerta resort hotel, we were a group of about 50 participants, the hotel staff took great care of us, the food was varied and very good, the rooms very clean and comfortable. Between the beach and the â?¦",See original (French),,,,,,,,,,,,,Translated by Google,ã?»
Maike K,5-Apr,a month ago,Tripadvisor,"The staff is really friendly and attentive, the meals are good and balanced, and the rooms are clean and comfortable. A very good experience, highly recommended... What also impressed me was the peace and quiet. I slept with the window open without any problem. Thank you for this wonderful week.",See original (French),,,,,,,,,,,,,Translated by Google,ã?»
Johanna B,5-May,a month ago,Tripadvisor,"A very comfortable place, with excellent service. Throughout our training, we received a very warm welcome, snack breaks were provided, the rooms were cleaned excellently, and all the staff were friendly, welcoming, and cheerful. I recommend this place for a great time by the sea and a very warm welcome!",See original (French),,,,,,,,,,,,,Translated by Google,ã?»
Laura P,5-May,a month ago,Tripadvisor,"The hotel is very well equipped and very clean, thank you to the staff! |We had a very good stay. The view is very beautiful. |The staff is very kind. We had a great time. |The sea is very close and that is pleasant. We are happy with our stay.",See original (French),,,,,,,,,,,,,Translated by Google,ã?»
Rafik U,5-May,a month ago,Tripadvisor,Spacious and clean room. Friendly and professional staff. Pleasant space and varied and good food. I recommend the Bizerta resort for a professional and personal stay. Very pleasant setting with very suitable meeting spaces.,See original (French),,,,,,,,,,,,,Translated by Google,ã?»
CC A,5-Apr,5 months ago,Google,"I spent three weeks at this hotel.
The staff is very friendly and always willing to help.
The location is quiet and close to all activities.
The meals are decent, and you absolutely must try the spa.",See original (French),13 reviews Â· 8 photos,î??,More,î£?,Like,î ,Share,Response from the owner,3 months ago,"Good morning, 
Many thanks for your positive feedback! We are delighted to learn that your stay with us was pleasant and that you appreciated the kindness of our staff, the â?¦",,,Translated by Google,ã?»
Nadira B,5-May,a month ago,Tripadvisor,"Very pleasant hotel, welcoming staff, impeccable hygiene, very satisfactory food, the beach is accessible, the work rooms are spacious, there is also the swimming pool and the gym to allow you to relax, I tried a 50 minute sauna but I found â?¦",See original (French),,,,,,,,,,,,,Translated by Google,ã?»
Mehdi Mazhoud,5-Jan,4 months ago,Google,"AVOID
I STRONGLY ADVISE NOT. â?¦",See original (French),3 reviews,î??,More,î£?,,î ,Share,Response from the owner,3 months ago,"Good morning,
We are sorry to hear about your experience and understand your frustration with this situation. The satisfaction and safety of our customers are a priority for â?¦",Like,1,Translated by Google,ã?»
imed tanfous,5-May,2 months ago,Google,"Impeccable!!!
Very warm welcome and top-notch service (very attentive).
The icing on the cake: the top-notch cuisine. â?¦",See original (French),10 reviews Â· 9 photos,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Ã?n Ã?,5-May,a month ago,Tripadvisor,"It was a pleasant experience, plus the people at the hotel welcomed us very well. I would give it 5 stars. Thank you very much to Bizert and all the people I met, Tunisians, Moroccans, and even the French and Germans.",See original (French),,,,,,,,,,,,,Translated by Google,ã?»
Discart Vondi,5-Jan,2 months ago,Google,Inappropriate hotel....breakfast and dinner in the morning are not up to par....plus the customer service is very poor......considering the price of the hotel.....please stay away. Please don't be fooled like we were.,See original (French),2 reviews,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Jean-Pierre Arnaud,5-Mar,6 months ago,Google,"I had a pleasant stay. There weren't too many people. It was very calm.
I liked the hotel restaurant less",See original (French),Local Guide Â· 12 reviews Â· 3 photos,î??,More,î£?,Like,î ,Share,Response from the owner,3 months ago,"Good morning,
Thank you for taking the time to share your experience. We are delighted that you enjoyed the peace and quiet of your stay. â?¦",,,Translated by Google,ã?»
imed t,5-May,2 months ago,Tripadvisor,Impeccable!!!|Very warm welcome and top-notch service (very attentive).|The icing on the cake = the top-notch cuisine|The swimming pool is well heated.|The parking is secure.|Ideal for summer and winter.|The best of Bizerte.|I recommend it 100%|Have a good trip ğ??? â?¦,See original (French),,,,,,,,,,,,,Translated by Google,ã?»
G A,5-Apr,a month ago,Google,"Beautiful, comfortable room, the bathroom a bit dated
Friendly, helpful staff
The restaurant has a simple but good buffet",See original (French),Local Guide Â· 32 reviews,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Abdel Lassoued,5-Jan,6 months ago,Google,"For asthma sufferers like me, I do not recommend this hotel. It has the particularity of having carpets in the rooms and what's more is not systematically cleaned. Especially since the hotel does not have non-smoking rooms (all rooms have â?¦",See original (French),Local Guide Â· 345 reviews Â· 588 photos,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Siwar Chtioui,5-Jan,6 months ago,Google,"""Absolutely avoid! Very dirty hotel, you can smell dust everywhere. We paid for a room with a sea view, the receptionist assured us that he had given us one of the best rooms. When we arrived, surprise: the door to the room was wide open â?¦",See original (French),Local Guide Â· 125 reviews Â· 248 photos,î??,More,î£?,Like,î ,Share,Response from the owner,3 months ago,"Good morning,
We are sorry to hear that your experience at our hotel did not meet your expectations. We take your comments very seriously and deeply regret the inconvenience â?¦",,,Translated by Google,ã?»
Laura Ponce,5-May,8 months ago,Google,"I think it was the best possible experience we could have here, moving to Bizerte, we booked at the hotel in the meantime, the hotel members were always there to make the time spent pleasant, very available to the guests and kind, whether â?¦",See original (French),3 reviews,î??,More,î£?,Like,î ,Share,Response from the owner,7 months ago,"Thank you very much for this wonderful feedback! We are delighted that your experience at Bizerte Resort was so positive, especially at such an important time for you. Our team is always here to make our guests' stay as pleasant as â?¦",,,Translated by Google,ã?»
C M,5-Apr,8 months ago,Google,"I'm only judging the pool area. I find the entrance fee reasonable, around 40 TD. The pool is large and well-maintained. The setting is relaxing, with direct access to the beach. A nice relaxing day. â?¦",See original (French),Local Guide Â· 130 reviews Â· 42 photos,î??,More,î£?,Like,î ,Share,Response from the owner,7 months ago,"Thank you for your detailed feedback. We are delighted that you enjoyed the swimming pool and the relaxing atmosphere of our establishment. Regarding your comments on the snack bar and the cleanliness of the toilets, we take them very â?¦",,,Translated by Google,ã?»
Danilo V,5-Jan,6 months ago,Tripadvisor,"Simply SHAMEFUL. Room full of ants, yellow stained sheets, mold on the walls, dirt and hair everywhere. Terrace communicating with the terraces of the other rooms, too bad I couldn't close the balcony and anyone could have come in and stolen everything. RUN AWAY!!!!",See original (Italian),,,,,,,,,,,,,Translated by Google,ã?»
M K,5-Mar,7 months ago,Google,"The hotel room and reception are nice, as are the receptionists.
On the other hand, the restaurant staff is greedy and indecent. We had lunch, and when I left my 81-year-old mother alone, the staff asked her to pay for the â?¦",See original (French),Local Guide Â· 67 reviews Â· 56 photos,î??,More,î£?,Like,î ,Share,Response from the owner,7 months ago,"Thank you for your feedback. We are delighted that you enjoyed the room and the welcome at reception. We sincerely apologize for the incident at the restaurant. This does not reflect our standards, and we will ensure that it does not happen again. We hope to welcome you again for a better experience.",,,Translated by Google,ã?»
Elisa Meynier,5-May,a month ago,Google,Beautiful hotel with really attentive staff and delicious food.,See original (French),1 review,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Christophe,5-Jan,10 months ago,Google,"Very bad experience: I strongly advise against it!
Go your own way despite the exterior appearance.
Dilapidated hotel, unpleasant reception staff (unheard of in Tunisia), dirty â?¦",See original (French),3 reviews,î??,More,î£?,,î ,Share,Response from the owner,10 months ago,"Dear Customer, 
We are sincerely sorry to learn that your experience at our hotel did not meet your expectations. Your opinion is extremely important to us, and we take your â?¦",Like,2,Translated by Google,ã?»
Sonia Gara,5-May,7 months ago,Google,"Honestly we came as a family to this hotel and frankly pleasantly surprised the first week in a hotel in Sousse disaster the second week in this hotel super Bizerta resort!!!; , clean room thank you to the cleaning lady of the 4th super â?¦",See original (French),Local Guide Â· 16 reviews,î??,More,î£?,Like,î ,Share,Response from the owner,7 months ago,"Thank you very much for your warm review! We are delighted that your stay at Bizerte Resort exceeded your expectations. Your satisfaction is our priority, and we will not fail to pass on your compliments to the entire team, in particular to â?¦",,,Translated by Google,ã?»
hela T,5-May,7 months ago,Google,"The team is very welcoming, the swimming pool is large and clean, the calm, the cleanliness,...I recommend",See original (French),10 reviews Â· 2 photos,î??,More,î£?,Like,î ,Share,Response from the owner,3 months ago,"Hello, thank you for your review, we hope to see you again very soon in our hotel!",,,Translated by Google,ã?»
haykiru 75,5-May,8 months ago,Google,"Superbly located hotel, very welcoming and warm staff, particularly the morning receptionist and Mrs. Rim, we will be happy to come back",See original (French),5 reviews,î??,More,î£?,,î ,Share,Response from the owner,8 months ago,Thank you for your positive review. We are delighted that you appreciated our location and the welcome of our team. We will be happy to welcome you again soon! â?¦,Like,2,Translated by Google,ã?»
julie boyer,5-Apr,a year ago,Google,"The hotel needs updating, both in terms of the rooms and especially the bathrooms.
The food isn't great, but that's what most hotels in Tunisia are like.
The pool is great, as is the private beach.",See original (French),14 reviews,î??,,î£?,,î ,Share,,,,Like,3,Translated by Google,ã?»
BÃ©chir khiari,5-Mar,a year ago,Google,"Bizerta Resort Congress & SPA: A peaceful seaside haven

Ideal location: Located on the Sidi Salem corniche in Bizerte, the Bizerta â?¦",See original (French),"Local Guide Â· 229 reviews Â· 1,624 photos",î??,More,î£?,,î ,Share,,,,Like,2,Translated by Google,ã?»
LOURDES ELÃAS SÃENZ,5-May,a year ago,Google,"We had dinner. It's Ramadan, and the hotel where we were staying didn't offer dinner. They welcomed us at this Bizerte hotel. The buffet was fantastic, with very friendly and helpful service. Thank you very much.",See original (Spanish),Local Guide Â· 131 reviews Â· 2 photos,î??,More,î£?,,î ,Share,,,,Like,1,Translated by Google,ã?»
Cherif Hamza,5-Jan,8 months ago,Google,"I strongly advise against changing direction. Breakfast is from a 2-star hotel, not a 4-star hotel, and also the walls, bathroom, and carpet are dirty, even the bed frame is dirty. Honestly, it's not a 4-star hotel.",See original (French),3 reviews Â· 3 photos,î??,More,î£?,Like,î ,Share,Response from the owner,7 months ago,"We are sorry to learn that your stay did not meet your expectations. Your comments are taken very seriously, and we will review them carefully to make any necessary improvements. We hope to have the opportunity to provide you with a better experience in the future.",,,Translated by Google,ã?»
fabrizio rainaldi,5-Mar,8 months ago,Google,"Let's say that all in all it's not bad. Large rooms, comfortable bed and wonderful view from the room. Of course the cleaning is a bit so...don't look at the carpet or the fingerprints in the bathroom...good and rich breakfast. Very kind staff",See original (Italian),"Local Guide Â· 1,184 reviews Â· 4,079 photos",î??,More,î£?,,î ,Share,Response from the owner,8 months ago,"Thanks for your feedback! We are happy that you liked the spacious rooms, the comfortable bed and the view from the room. We are sorry about the cleanliness, we will take your comment seriously. We are happy that you liked the breakfast and our staff. We hope to welcome you again soon!",Like,1,Translated by Google,ã?»
Luis Alcazar,5-Mar,2 years ago,Google,"This hotel is located on the beach, just two minutes from the historic center. It has a spa, pub, pool, buffet, and all the amenities and is quite comfortable. â?¦",See original (Spanish),Local Guide Â· 115 reviews Â· 383 photos,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
5gattini,5-Apr,9 years ago,Tripadvisor,"I don't understand which hotel other travellers have been to to make such terrible reviews. I agree that the name resort is inappropriate, but otherwise it is definitely a good hotel at least for a business stay. I finally found European â?¦",See original (Italian),,,,,,,,,,,,,Translated by Google,ã?»
Asier Escalero,5-Feb,a year ago,Google,"There are times when a person questions the criteria used to award stars. I don't understand how they gave it 4. The hotel is all facade, old rooms, and poor housekeeping. I travel often for work; I tried an alternative, the Hotel Nour next door, and I couldn't have been more disappointed.",See original (Spanish),Local Guide Â· 18 reviews Â· 19 photos,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
flo,5-Jan,3 years ago,Google,"Hotel with potential, but very poorly exploited! Large, bright room but old and not very clean (carpet, shower seal, tiles, etc.) wifi only in the hotel lobby because in the rooms it works very, very poorly! (the director and employees are â?¦",See original (French),8 reviews,î??,More,î£?,,î ,Share,,,,Like,2,Translated by Google,ã?»
Lydia Dg,5-May,2 years ago,Google,"One-week stay.
Attentive and attentive staff.
Breakfast a little disappointing, but everything else was very good. â?¦",See original (French),8 reviews,î??,More,î£?,,î ,Share,Response from the owner,2 years ago,"Hello â¤, we would like to thank you for your review and we hope to see you again at our hotel very soon â¤.",Like,2,Translated by Google,ã?»
Sabri Benlahoual,5-May,2 years ago,Google,"We are currently staying at the hotel for four nights. The room staff took great care of us. The pool was clean and the restaurant was good. Everything went well during check-in, and our room was exactly as we expected. We will definitely be back soon.",See original (French),Local Guide Â· 40 reviews Â· 10 photos,î??,More,î£?,Like,î ,Share,Response from the owner,2 years ago,"Hello â¤, we would like to thank you for your review and we hope to see you again at our hotel very soon â¤.",,,Translated by Google,ã?»
Iane Sof,5-Jan,7 years ago,Google,"We had a terrible night.
* A smell of ""fuel"" in the room (used to clean the carpet). After changing rooms, we got another one with the same terrible smell. â?¦",See original (French),Local Guide Â· 5 reviews,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Chamoune briquet,5-Feb,2 years ago,Google,"Hotel which could be nice and get 4 stars except that the swimming pool is ridiculous with too many people outside inside, filtered! And in the air conditioning which makes the sound of a washing machine spinning, which barely works! â?¦",See original (French),Local Guide Â· 47 reviews Â· 15 photos,î??,More,î£?,,î ,Share,Response from the owner,2 years ago,"We thank you for coming to our hotel and taking the time to write a review to which we pay the greatest attention. Your complaint will be forwarded to our hotel management and will be treated with the greatest attention.
Kind regards.",Like,1,Translated by Google,ã?»
JumperBasel,5-Mar,14 years ago,Tripadvisor,"I've stayed at this hotel three times now while traveling for business. If you're lucky enough to get a room facing the sea, it's a very pleasant stay. The hotel is right on the sea and therefore offers a wonderful view of the â?¦",See original (German),,,,,,,,,,,,,Translated by Google,ã?»
Anonyme,5-Jan,a year ago,Google,"Warning â? ï¸ â??ï¸
Bad experience, bad stay
Food and customer service: â?¦",See original (French),1 review,î??,More,î£?,,î ,Share,,,,Like,2,Translated by Google,ã?»
Gabriele V,5-Apr,7 years ago,Tripadvisor,"I stayed at the hotel for a long time for work reasons. It is really comfortable, very clean compared to the standards I have seen elsewhere. Large rooms and if with a view of the pool and the sea, a real spectacle.||Large and clean â?¦",See original (Italian),,,,,,,,,,,,,Translated by Google,ã?»
cherif Ben abdelkader,5-May,2 years ago,Google,"I stayed at this hotel, which I knew from my vacation, but during the day.
I stayed there from October 15th until this morning.
The staff is competent and attentive. â?¦",See original (French),2 reviews,î??,More,î£?,Like,î ,Share,Response from the owner,2 years ago,"Hello â¤, we would like to thank you for your review and we hope to see you again at our hotel very soonâ¤",,,Translated by Google,ã?»
Mondher Tebourbi,5-May,a year ago,Google,"very nice hotel, welcome, restaurant, rooms everything is there. We enjoyed ourselves, special mention for the restaurant staff, a big thank you for the whole team, I will keep your address for my friends, I will definitely recommend it again",See original (French),6 reviews,î??,More,î£?,,î ,Share,,,,Like,2,Translated by Google,ã?»
Y S,5-May,2 years ago,Google,"Very warm welcome at the reception Mr Maher and his team are very professional, very clean room and Mrs Nour, head of the housekeeping team, is very attentive!! Clean swimming pool and lively service at the pool bar which demonstrates the â?¦",See original (French),2 reviews Â· 1 photo,î??,More,î£?,Like,î ,Share,Response from the owner,2 years ago,"Helloâ¤, we would like to thank you for your review and we hope to see you again at our hotel very soonâ¤.",,,Translated by Google,ã?»
Gianni S,5-Jan,9 years ago,Tripadvisor,"First of all I don't know how they called it a Resort, since it has nothing to do with a resort. We stayed in this terrible hotel in mid-August, we booked for three days, but on the first day we ran away. They are not organized at all. In â?¦",See original (Italian),,,,,,,,,,,,,Translated by Google,ã?»
Elisa Debreux,5-May,4 years ago,Google,"I don't know if it was due to our second stay at the hotel between other excursions in Tunisia, or to the tip left to the room staff last time. But when we came back from breakfast we were surprised to find our room without the do not â?¦",See original (French),Local Guide Â· 49 reviews Â· 24 photos,î??,More,î£?,,î ,Share,,,,Like,2,Translated by Google,ã?»
Sophia Iklef,5-Jan,a year ago,Google,"Hotel to avoid!!
Poor hygiene, non-existent service
As for the pool and restaurant staff, very aggressive bordering on violent â?¦",See original (French),7 reviews,î??,More,î£?,,î ,Share,,,,Like,5,Translated by Google,ã?»
Claudio Borsotti,5-Apr,9 years ago,Google,"I have frequented this hotel for several years, I think it is the best in the city; very spacious rooms, always very clean and helpful staff.
the external area should be used better. â?¦",See original (Italian),"Local Guide Â· 460 reviews Â· 3,854 photos",î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
m 1000,5-Jan,11 months ago,Google,"Deplorable hygiene at the indoor pool.
The indoor pool staff is very aggressive and violent.
Lacking professionalism.
I do not recommend it.",See original (French),5 reviews,î??,More,î£?,,î ,Share,,,,Like,1,Translated by Google,ã?»
Maurizio S,5-May,2 years ago,Tripadvisor,EVERYTHING PERFECT|Very large and very beautiful structure located on the seafront equipped with all the services...|Beautiful outdoor swimming pool and a very large indoor one.|The restaurant was also a wonderful surprise...|International â?¦,See original (Italian),,,,,,,,,,,,,Translated by Google,ã?»
bieffe73,5-Mar,6 years ago,Tripadvisor,"I spent two nights in this hotel since I was in the area for work. It is a good hotel with acceptable comfort. | Very quiet, with rooms overlooking the beach. | Common areas visited: only the breakfast room which has a satisfactory offer. |",See original (Italian),,,,,,,,,,,,,Translated by Google,ã?»
Ghazi Timoumi,5-Jan,3 years ago,Google,"Rude staff! When checking in, a friend forgot his cin in the car. While he is looking for her, the receptionist shows us around the room. Our friend joins us upstairs and there the receptionist throws a fit, because he joined us without â?¦",See original (French),Local Guide Â· 17 reviews Â· 10 photos,î??,More,î£?,,î ,Share,,,,Like,1,Translated by Google,ã?»
FRANGLE PLAYZ,5-Mar,8 months ago,Google,The room is beautiful but the service was nasty,See original (French),1 review,î??,More,î£?,Like,î ,Share,Response from the owner,8 months ago,"Good morning,

We thank you for your feedback. We are delighted that you enjoyed the room. â?¦",,,Translated by Google,ã?»
gr r,5-Apr,5 years ago,Tripadvisor,"The rating is above average for the ratio between what is offered (dinner, breakfast and room) and the price. The structure would need reconditioning. | However, a quiet and pleasant stay. Average service. |",See original (Italian),,,,,,,,,,,,,Translated by Google,ã?»
Emna Lahbib,5-May,a year ago,Google,"It was pleasant, clean, and quiet. The sea was easily accessible, and the pool was majestic and spotlessly clean. I highly recommend it.",See original (French),Local Guide Â· 38 reviews Â· 117 photos,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Pare Brise Laval Inc.,5-May,4 years ago,Google,"This hotel is well managed by professionals, welcoming staff, the common areas, the rooms, and the beach are very clean, fresh food of good quality acceptable, I got good value for my money I highly recommend it thank you next time.",See original (French),42 reviews Â· 9 photos,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Abdelmouneam GHORISSI,5-May,2 years ago,Google,"I spent a few nights here in July. It's a really nice hotel. Personally, I loved it. It's right on the waterfront with a wonderful beach and an even better pool. You'll be very comfortable. The most important thing is the location. It's â?¦",See original (French),Local Guide Â· 54 reviews Â· 388 photos,î??,More,î£?,Like,î ,Share,Response from the owner,2 years ago,"Hello sirâ¤, we would like to thank you for your review and we hope to see you again at our hotel very soon dear customerâ¤.",,,Translated by Google,ã?»
Me_gusta_viajar_mar,5-Apr,15 years ago,Tripadvisor,"It was said to be the best hotel in town, and I believe it. Good customer service, clean, and fairly spacious rooms. Located on the beach, with restaurants and shops nearby. ||||There's Wi-Fi in the reception area, and you can sometimes â?¦",See original (Spanish),,,,,,,,,,,,,Translated by Google,ã?»
Moustafa Bendimerad P,5-Jan,2 years ago,Google,"An old hotel that doesn't deserve its 4 stars at all.

Incompetent staff. Cleanliness leaves something to be desired in the bathroom. â?¦",See original (French),12 reviews,î??,More,î£?,,î ,Share,Response from the owner,2 years ago,We thank you for coming to our hotel and taking the time to write a review to which we pay the greatest attention. Your complaint will be forwarded to our hotel management and will be treated with the greatest attention. Kind regards.,Like,1,Translated by Google,ã?»
Sahbi MILED,5-Jan,2 years ago,Google,"Entertainment - none
Restaurant - bland food, breakfast to be avoided. As for the bar, it's not at all what you'd expect (no cocktails, and no non-smoking area). â?¦",See original (French),1 review,î??,More,î£?,Like,î ,Share,Response from the owner,2 years ago,"We thank you for coming to our hotel and taking the time to write a review to which we pay the greatest attention. Your complaint will be forwarded to our hotel management and will be treated with the greatest attention.
Kind regards.",,,Translated by Google,ã?»
imen bouz,5-May,2 years ago,Google,"I recommend this friendly hotel, modern and clean rooms, welcoming staff I only stayed one night but I will be back very soon",See original (French),4 reviews,î??,More,î£?,Like,î ,Share,Response from the owner,2 years ago,"Hello â¤, we hope you enjoyed your stay at our hotel dear customer, we hope to see you again at our hotel very soon.",,,Translated by Google,ã?»
Caroline Devos,5-Mar,a year ago,Google,"I have been a customer of this hotel for years...there are many things that could be improved, especially cleanliness and tidiness. But this is Tunisia...the standards here are much lower than ours. The friendliness of the staff more than â?¦",See original (Dutch),"Local Guide Â· 118 reviews Â· 1,542 photos",î??,More,î£?,,î ,Share,Response from the owner,2 years ago,"Hello â¤, we would like to thank you for your review and we hope to see you again at our hotel very soon â¤.",Like,1,Translated by Google,ã?»
Meriem Miaoui- jerbi,5-Jan,11 months ago,Google,The indoor pool is very dirty. Pool staff are unprofessional. Never again....,See original (French),5 reviews,î??,,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Rastafarai R,5-Apr,7 years ago,Tripadvisor,"clean hotel with various services, ranging from reception to body care.||Rooms always very clean and fragrant, just put the appropriate marker ""clean my room"" and you will be satisfied, the only inconvenience is that for two days there was â?¦",See original (Italian),,,,,,,,,,,,,Translated by Google,ã?»
Roberto C,5-Apr,5 years ago,Tripadvisor,"I stayed three days in the hotel, for work reasons.|The room was very large and well furnished, with a balcony overlooking the sea.|Clean and comfortable, the only flaw, not all the electrical outlets worked...|The restaurant is also quite â?¦",See original (Italian),,,,,,,,,,,,,Translated by Google,ã?»
Hermann K,5-Apr,8 years ago,Tripadvisor,I've stayed at this hotel several times for business. It's a very well-maintained hotel with good service. Ms. Ben Hassine at the reception desk speaks good German and looked after us very well. I'd love to come back next year!,See original (German),,,,,,,,,,,,,Translated by Google,ã?»
Zineb,5-Jan,6 years ago,Google,"Bad experience, apart from being disgusting, hair in the sheets, rice stuck to it, the toilet covered in drops of who knows what, the carpet not vacuumed. On top of all this, I asked for a taxi for 5:30 a.m. and they told me it would cost â?¦",See original (Spanish),Local Guide Â· 44 reviews Â· 91 photos,î??,More,î£?,,î ,Share,,,,Like,1,Translated by Google,ã?»
Rudolf,5-Mar,6 years ago,Google,"Hotel Bizerta, part of the city of Bizerta. The staff is nice and helpful. Communication possible in English and French. Possibility of half board, the food is very tasty, you need to get used to a different cuisine but that's fine. The â?¦",See original (Slovak),Local Guide Â· 46 reviews Â· 343 photos,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Meriem Hammada,5-Feb,6 years ago,Google,"Clean and luxurious hotel.
Superb hotel staff!
Tea room belonging to the hotel complex (cafÃ© sidi salem): clean, pleasant and â?¦",See original (French),8 reviews,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
luca mario leonardo quaresima,5-Apr,3 years ago,Google,"Clean hotel and helpful staff, a location very close to the beach, restaurant with many different dishes every day. At the bar they serve alcohol and you can smoke ......",See original (Italian),Local Guide Â· 62 reviews Â· 54 photos,î??,,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Nasser HARFOUSH,5-May,a month ago,Google,You must book in advance,See original (French),"Local Guide Â· 136 reviews Â· 1,393 photos",î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Youssef Zrirak,5-Apr,2 years ago,Google,"Very warm welcome, clean and spacious hotel. A big thank you to all the hotel staff (reception, restaurant) and especially Mr. (Ghassen B Alay)",See original (French),1 review,î??,More,î£?,Like,î ,Share,Response from the owner,2 years ago,"Hello, We would like to thank you for your review and we hope to see you again at our hotel",,,Translated by Google,ã?»
Marjolaine Mechergui,5-May,2 years ago,Google,"We've been going there for two years, perfect stay, very clean room, perfect lunch, attentive room staff, we'll be back in April 2023",See original (French),4 reviews,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Wahib Meradji,5-May,5 months ago,Google,Clean swimming pool and beautiful sea view,See original (French),Local Guide Â· 19 reviews,î??,More,î£?,Like,î ,Share,Response from the owner,3 months ago,Thank you for your feedback. We hope to see you again very soon!,,,Translated by Google,ã?»
Nesrine Zouari,5-Apr,2 years ago,Google,"Good hotel with sea view, just be prepared to pay on site. The price remains excessive compared to the end of the season but there is no choice in Bizerte",See original (French),Local Guide Â· 185 reviews Â· 56 photos,î??,More,î£?,Like,î ,Share,Response from the owner,2 years ago,"Hello â¤, we would like to thank you for your review and we hope to see you again at our hotel very soonâ¤",,,Translated by Google,ã?»
gerdsander,5-Mar,11 years ago,Tripadvisor,"I was at the Bizerte Resort for work in Nov/Dec 13.||The room was fine, but the carpet needed to be replaced; it was a few years old.||The internet was free, but it was very difficult to log in; you get an access PIN that doesn't always â?¦",See original (German),,,,,,,,,,,,,Translated by Google,ã?»
Marco Passero,5-Apr,3 years ago,Google,"Near the sea and the old port of BISERTE, large and comfortable rooms, kind and attentive staff, room facing the sea, good parking, the kitchen could be improved a little... but in these times of covid it's fine like this",See original (Italian),"Local Guide Â· 925 reviews Â· 6,043 photos",î??,,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Divers Multiples,5-May,a year ago,Google,"I liked the hotel, service and location, I recommend booking",See original (French),2 reviews,î??,More,î£?,,î ,Share,,,,Like,2,Translated by Google,ã?»
Farid L,5-May,8 years ago,Tripadvisor,"I spent two nights in the resort, the service is pleasant, the rooms are clean, the beach is 50 meters away, the rooms have a sea view, excellent hotel recommended for a long holiday and also for work, greetings",See original (Italian),,,,,,,,,,,,,Translated by Google,ã?»
Nabil HASSAN,5-May,2 years ago,Google,"Since my wife and I attended a conference there, we have been impatiently waiting to return and stay there for a few nights..... I highly recommend it!",See original (French),Local Guide Â· 126 reviews Â· 132 photos,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
paolo turriziani,5-Apr,6 years ago,Google,Good. Helpful and courteous staff. Excellent TV system. Good WiFi. Room and bathroom very good.,See original (Italian),Local Guide Â· 552 reviews Â· 161 photos,î??,,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
Nada Zrelli,5-Apr,4 years ago,Google,"Good value for money
Welcoming staff
Clean room â?¦",See original (French),Local Guide Â· 11 reviews Â· 40 photos,î??,More,î£?,Like,î ,Share,,,,,,Translated by Google,ã?»
